file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\type\TypeReferenceTest.java,com.fasterxml.jackson.core.type.TypeReferenceTest$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\io\BigIntegerParser.java,com.fasterxml.jackson.core.io.BigIntegerParser,class,0,2,2,0,7,1,0,4,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,2,0,7,2,2,4,2,1,0,0,0,46,17,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\TestParserOverrides.java,com.fasterxml.jackson.core.json.TestParserOverrides,class,5,6,1,5,7,2,0,19,6,0.0,0.0,0.0,4,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,58,0,0,0,1,0,15,0,6,0,6,1,0,0,0,39,1,0
E:\OOD_Assignment\jackson-core\src\test\java\perf\MediaItem.java,perf.MediaItem$Photo,innerclass,2,2,0,2,14,1,0,6,26,0.6923077,0.33333334,0.84615386,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,0,0,0,60,5,0,1,0,0,6,0,10,0,5,1,0,0,0,28,9,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\constraints\LargeNumberReadTest.java,com.fasterxml.jackson.core.constraints.LargeNumberReadTest,class,8,9,1,8,13,2,0,15,21,0.85714287,0.0,0.0,7,0,0,1,0,6,6,0,0,0,1,0,0,1,0,0,1,0,6,63,0,1,0,5,0,43,0,7,8,6,2,0,0,0,72,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\io\SegmentedStringWriterTest.java,com.fasterxml.jackson.core.io.SegmentedStringWriterTest,class,10,10,0,10,6,2,0,30,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,54,0,1,0,0,2,4,9,13,3,13,2,0,0,0,36,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\JsonFactory.java,com.fasterxml.jackson.core.JsonFactory$Feature,enum,1,1,0,1,8,1,0,4,8,0.6,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,29,4,1,1,0,2,0,3,3,1,2,2,0,0,0,218,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\io\DataOutputAsStream.java,com.fasterxml.jackson.core.io.DataOutputAsStream,class,1,2,1,1,4,2,0,2,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,16,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20,1,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\io\SegmentedStringWriter.java,com.fasterxml.jackson.core.io.SegmentedStringWriter,class,5,7,2,5,13,2,0,10,0,0.23076923,0.5769231,0.5769231,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,48,5,0,0,0,0,0,4,4,0,4,0,0,0,0,89,17,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\write\RawStringWriteTest.java,com.fasterxml.jackson.core.write.RawStringWriteTest,class,8,9,1,8,20,2,0,31,9,0.5,1.0,1.0,6,0,0,3,0,3,3,0,0,0,1,0,0,1,0,0,1,0,1,122,2,7,2,0,2,7,24,34,5,26,4,0,0,0,68,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\async\AsyncBinaryParseTest.java,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest,class,10,11,1,10,14,3,0,29,33,0.7,1.0,1.0,10,0,0,7,0,3,3,0,0,0,2,1,0,1,0,1,2,0,6,118,1,4,0,0,1,2,36,27,4,23,1,0,0,0,55,0,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\json\TestCustomEscaping.java,com.fasterxml.jackson.core.json.TestCustomEscaping,class,10,11,1,10,15,3,0,23,36,0.8888889,0.0,0.0,9,0,0,4,0,5,5,0,0,0,4,4,0,0,0,4,4,0,4,159,0,0,0,0,2,56,3,34,8,23,1,0,1,0,82,0,0
E:\OOD_Assignment\jackson-core\src\main\java\com\fasterxml\jackson\core\JsonToken.java,com.fasterxml.jackson.core.JsonToken,enum,3,62,59,3,37,1,0,1,37,0.8181819,0.16363636,0.8181818,11,1,10,0,0,1,11,0,9,0,8,0,0,0,0,8,8,0,0,101,19,1,12,0,6,17,1,15,0,11,2,0,0,0,193,1,0
E:\OOD_Assignment\jackson-core\src\test\java\com\fasterxml\jackson\core\read\TrailingCommasTest.java,com.fasterxml.jackson.core.read.TrailingCommasTest,class,11,12,1,11,36,2,0,24,0,0.15686275,1.0,1.0,17,1,2,2,0,13,15,0,0,0,3,0,0,0,0,3,0,0,9,281,3,2,0,16,1,72,0,33,1,32,3,0,0,0,77,1,0
