file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\rust\RustGenerator.java,uk.co.real_logic.sbe.generation.rust.RustGenerator$CodecType$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\xml\RelativeXIncludeTest.java,uk.co.real_logic.sbe.xml.RelativeXIncludeTest,class,4,4,0,4,1,1,0,14,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,2,0,4,0,4,0,0,0,0,30,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\ir\CompositeOffsetsTest.java,uk.co.real_logic.sbe.ir.CompositeOffsetsTest,class,7,7,0,7,1,1,0,9,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,1,0,1,23,8,7,8,1,0,0,0,33,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\EnumType.java,uk.co.real_logic.sbe.xml.EnumType,class,8,17,9,8,35,2,0,31,15,0.71999997,0.33333334,0.62222224,10,0,8,0,0,2,10,0,0,0,5,1,1,4,0,0,5,0,10,135,9,1,16,0,0,29,3,23,9,19,3,0,1,0,126,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\HeaderStructure.java,uk.co.real_logic.sbe.ir.HeaderStructure,class,4,17,13,4,12,1,0,5,0,0.6984127,0.33333334,1.0,7,0,6,1,0,0,6,0,0,0,9,4,4,5,0,0,5,0,0,53,5,1,0,0,0,9,0,9,0,9,2,0,0,0,66,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-samples\src\main\java\uk\co\real_logic\sbe\examples\ExampleTokenListener.java,uk.co.real_logic.sbe.examples.ExampleTokenListener,class,9,11,2,9,38,1,0,41,42,0.72058827,0.4848485,1.0,17,3,12,5,0,0,12,0,0,0,4,0,0,4,0,0,3,0,9,157,12,5,8,2,3,7,22,35,14,32,3,0,0,0,94,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\TargetCodeGeneratorTest.java,uk.co.real_logic.sbe.TargetCodeGeneratorTest,class,3,3,0,3,2,1,0,6,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,4,0,2,0,2,0,0,0,1,24,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-samples\src\main\java\uk\co\real_logic\sbe\examples\ExampleUsingGeneratedStub.java,uk.co.real_logic.sbe.examples.ExampleUsingGeneratedStub,class,9,11,2,9,14,1,0,72,3,0.6666667,0.0,0.0,3,3,1,0,0,2,4,0,0,0,6,6,0,6,0,0,6,0,6,113,1,6,3,2,0,42,52,30,1,30,2,0,0,0,100,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\ir\generated\FrameCodecEncoder.java,uk.co.real_logic.sbe.ir.generated.FrameCodecEncoder$CodecStates,innerclass,0,0,0,0,2,1,0,0,1,0.85714287,-1.0,-1.0,2,2,0,2,0,0,0,0,0,0,7,7,0,7,0,0,7,0,0,15,2,0,0,0,0,10,5,7,0,7,0,0,0,0,69,10,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\ir\CompositeElementsIrTest.java,uk.co.real_logic.sbe.ir.CompositeElementsIrTest,class,8,8,0,8,3,1,0,14,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,127,0,0,0,3,0,21,51,37,0,37,1,0,0,0,43,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\java\JavaOutputManager.java,uk.co.real_logic.sbe.generation.java.JavaOutputManager$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\common\FieldPrecedenceModel.java,uk.co.real_logic.sbe.generation.common.FieldPrecedenceModel$CodecInteraction$MoveToNextElement,innerclass,2,2,0,2,6,2,0,2,0,0.25,0.33333334,0.33333334,4,0,1,1,0,2,3,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,2,0,0,2,0,2,2,2,0,0,0,0,31,26,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\xml\SinceVersionSchemaTransformerTest.java,uk.co.real_logic.sbe.xml.SinceVersionSchemaTransformerTest,class,11,12,1,11,16,1,0,36,10,0.0,NaN,NaN,5,4,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,69,2,4,4,1,0,16,4,15,9,14,2,0,0,0,53,1,0
