class,cbo,wmc,loc
discord4j.core.retriever.StoreEntityRetriever,23,25,80
discord4j.core.spec.BulkBanRequestMonoGenerator,6,3,7
discord4j.rest.entity.RestGuild,52,66,209
discord4j.common.store.action.read.GetPresenceByIdAction,2,3,14
discord4j.core.object.component.TextInput,8,27,102
discord4j.core.object.reaction.Reaction$Type,1,5,19
discord4j.core.spec.legacy.LegacyAuditSpec,4,2,4
discord4j.core.event.domain.lifecycle.ReadyEvent,6,8,62
discord4j.common.store.Store,114,53,164
discord4j.common.store.action.read.GetAutoModRuleByIdAction,2,3,14
discord4j.common.store.api.layout.GatewayDataUpdater,56,43,45
discord4j.core.object.ApplicationTeamMember$TeamMemberRole,1,6,21
discord4j.voice.DefaultVoiceGatewayClient,61,32,272
discord4j.core.object.command.Interaction$Type,1,8,25
discord4j.core.object.FollowedChannel,8,8,29
discord4j.core.ExampleStore,16,3,42
discord4j.rest.interaction.Interactions$GuildApplicationCommandRequest,3,3,14
discord4j.core.object.component.MessageComponent,7,12,60
discord4j.voice.LocalVoiceConnectionRegistry,6,4,24
discord4j.common.util.TimestampFormat,0,4,20
discord4j.voice.LocalVoiceReceiveTask,7,4,25
discord4j.core.spec.OnboardingEditSpecGenerator,9,5,9
discord4j.core.object.PermissionOverwrite,5,13,64
discord4j.rest.request.RequestQueue,2,2,4
discord4j.core.object.presence.ClientPresence,6,10,34
discord4j.rest.request.RouteMatcher,5,10,29
discord4j.core.object.entity.poll.PollAnswerCount,1,4,15
discord4j.common.store.action.read.GetStickersAction,2,1,4
discord4j.core.event.domain.UserUpdateEvent,5,4,18
discord4j.core.shard.DefaultShardingStrategy,10,9,69
discord4j.core.support.Commands,11,18,91
discord4j.gateway.state.DispatchStoreLayer$DispatchToAction,2,1,8
discord4j.core.object.entity.channel.PrivateChannel,6,4,14
discord4j.core.event.domain.interaction.ApplicationCommandInteractionEvent,8,4,14
discord4j.core.ExampleIntents,2,1,5
discord4j.rest.service.RestService,1,2,9
discord4j.core.object.command.ApplicationCommand$Type,1,6,21
discord4j.core.util.AuditLogUtil,2,2,21
discord4j.core.object.Invite,12,21,90
discord4j.core.spec.GuildMemberEditSpecGenerator,7,7,11
discord4j.core.object.entity.Entity,2,1,3
discord4j.core.event.domain.poll.PollVoteRemoveEvent,5,1,5
discord4j.rest.interaction.InteractionHandlerSpec,6,5,25
discord4j.common.JacksonResources,7,7,26
discord4j.core.event.domain.thread.ThreadChannelDeleteEvent,4,3,13
discord4j.voice.LocalVoiceReceiveTaskFactory,7,1,5
discord4j.common.store.action.read.GetGuildScheduledEventUsersAction,2,1,4
discord4j.core.spec.GuildStickerEditMonoGenerator,6,3,7
discord4j.common.store.action.read.GetVoiceStateByIdAction,2,3,14
discord4j.common.store.legacy.ListUtil,1,7,31
discord4j.core.object.entity.ApplicationTeam,10,9,32
discord4j.core.shard.MemberRequestFilter,4,6,19
discord4j.core.spec.CategoryCreateSpecGenerator,7,4,8
discord4j.common.store.action.gateway.UserUpdateAction,3,2,10
discord4j.core.ExampleVoice,9,1,9
discord4j.rest.util.ColorTest,2,3,32
discord4j.rest.entity.RestInvite,8,12,38
discord4j.common.store.action.gateway.GuildRoleUpdateAction,3,2,10
discord4j.core.spec.InteractionPresentModalMonoGenerator,6,3,7
discord4j.gateway.GatewayClient,10,14,18
discord4j.core.event.domain.guild.UnbanEvent,10,5,21
discord4j.core.spec.ThreadChannelEditMonoGenerator,6,3,7
discord4j.gateway.GatewayConnection,0,0,10
discord4j.rest.RestTests,4,3,12
discord4j.core.spec.legacy.LegacyVoiceChannelCreateSpec,7,10,39
discord4j.core.ExampleInteractionsAttachment,4,2,20
discord4j.common.store.action.read.GetMembersAction,2,1,4
discord4j.core.event.domain.channel.StoreChannelDeleteEvent,4,3,13
discord4j.core.event.dispatch.DispatchContext,6,6,23
discord4j.common.store.impl.WithUser,4,5,19
discord4j.gateway.GatewayClientGroup,6,6,10
discord4j.rest.request.SemaphoreGlobalRateLimiter$Resource,0,1,8
discord4j.core.spec.legacy.LegacyVoiceChannelEditSpec,8,12,47
discord4j.common.store.action.gateway.ThreadUpdateAction,3,2,10
discord4j.voice.VoiceDisconnectTask,2,1,3
discord4j.common.ResettableInterval,7,9,34
discord4j.core.object.Embed$Thumbnail,2,7,24
discord4j.core.object.entity.Emoji,8,15,47
discord4j.core.object.reaction.ReactionEmoji$Unicode,4,10,31
discord4j.core.spec.legacy.LegacyNewsChannelEditSpec,7,9,39
discord4j.core.support.VoiceSupport$Leave,4,4,17
discord4j.core.spec.ForumTagCreateSpecGenerator,7,5,9
discord4j.core.ExampleModifyButtons,11,9,69
discord4j.common.store.action.gateway.InvalidateShardAction,2,2,10
discord4j.core.object.automod.AutoModRuleAction$AutoModRuleActionMetaData,4,5,20
discord4j.core.event.domain.channel.PinsUpdateEvent,10,7,29
discord4j.core.event.domain.guild.MemberUpdateEvent,16,17,76
discord4j.core.object.entity.Webhook$Type,1,5,22
discord4j.gateway.json.ShardGatewayPayload,7,5,19
discord4j.core.spec.legacy.LegacyNewsChannelCreateSpec,7,10,39
discord4j.rest.entity.RestGuildTest,5,1,9
discord4j.core.spec.GuildCreateFields$PartialChannel,5,4,10
discord4j.voice.VoiceConnectionFactory,4,1,3
discord4j.core.event.domain.channel.UnknownChannelCreateEvent,4,3,13
discord4j.rest.interaction.InteractionMemberOperations,9,7,26
discord4j.core.spec.legacy.LegacySpec,1,1,3
discord4j.core.object.presence.Presence,4,9,30
discord4j.rest.RestClientBuilder$Config,8,9,44
discord4j.common.close.DisconnectBehavior,3,9,30
discord4j.common.close.DisconnectBehavior$Action,0,0,1
discord4j.core.object.ApplicationRoleConnectionMetadata$Type,1,11,40
discord4j.voice.json.Resume$Data,1,4,19
discord4j.core.spec.WebhookEditWithTokenSpecGenerator,7,3,7
discord4j.voice.VoiceSocket,15,13,75
discord4j.core.object.PermissionOverwrite$Type,1,5,22
discord4j.core.spec.StartThreadFromMessageMonoGenerator,6,3,7
discord4j.common.store.action.read.GetEmojisAction,2,1,4
discord4j.core.object.entity.Sticker,6,7,70
discord4j.core.retriever.EntityRetriever,18,24,26
discord4j.rest.service.MonetizationService,14,7,23
discord4j.rest.response.EmptyResponseTransformer,5,3,14
discord4j.core.object.entity.User,22,41,145
discord4j.core.object.reaction.ReactionEmoji$Custom,5,16,44
discord4j.rest.request.SemaphoreGlobalRateLimiter,7,14,67
discord4j.core.event.domain.channel.CategoryDeleteEvent,4,3,13
discord4j.core.event.domain.integration.IntegrationUpdateEvent,5,3,15
discord4j.core.event.domain.InviteCreateEvent,11,15,62
discord4j.common.store.action.read.CountChannelsInGuildAction,1,1,5
discord4j.core.object.command.ApplicationCommandInteractionOptionValue,14,14,53
discord4j.common.store.action.read.GetPresencesAction,2,1,4
discord4j.voice.AudioReceiver,2,5,30
discord4j.core.object.DiscordObject,1,1,3
discord4j.core.spec.WebhookEditMonoGenerator,6,3,7
discord4j.rest.util.AllowedMentions,9,20,142
discord4j.common.store.action.gateway.GuildRoleCreateAction,2,2,10
discord4j.common.store.impl.WrappedGuildData,2,7,34
discord4j.core.event.dispatch.DispatchEventMapper$Anonymous1,6,1,5
discord4j.core.spec.VoiceChannelEditSpecGenerator,9,10,14
discord4j.core.event.dispatch.DispatchEventMapper$Anonymous2,5,1,5
discord4j.core.object.command.ApplicationCommandOptionChoice,6,10,41
discord4j.core.event.domain.lifecycle.ResumeEvent,3,3,13
discord4j.rest.json.response.ErrorResponse,1,3,12
discord4j.core.ExampleForum,4,1,13
discord4j.core.object.command.ApplicationCommandPermission,5,10,56
discord4j.core.object.entity.channel.GuildChannel,11,6,16
discord4j.core.state.ParameterData,0,2,9
discord4j.rest.interaction.Interactions$ApplicationCommandRequestDefinition,1,1,3
discord4j.voice.json.Speaking,2,2,28
discord4j.core.ExampleThread,12,8,71
discord4j.rest.http.WriterStrategy,3,2,4
discord4j.common.store.action.read.GetMembersInThreadAction,2,2,9
discord4j.core.spec.ScheduledEventEntityMetadataSpecGenerator,5,2,6
discord4j.gateway.ExampleGatewayClient,17,1,23
discord4j.oauth2.DiscordOAuth2Server,15,8,162
discord4j.core.ExampleChatInputInteractionEvent,7,3,29
discord4j.core.object.Invite$Type,1,5,22
discord4j.core.event.domain.StageInstanceUpdateEvent,5,4,18
discord4j.core.event.domain.lifecycle.GatewayLifecycleEvent,3,1,5
discord4j.core.object.entity.poll.PollAnswer,3,7,24
discord4j.core.spec.AuditLogQueryFluxGenerator,6,3,7
discord4j.core.spec.EmbedCreateSpecGenerator,12,11,44
discord4j.voice.VoiceGatewayOptions,14,18,89
discord4j.voice.json.Identify,2,2,33
discord4j.core.object.entity.User$Flag,1,7,24
discord4j.core.object.entity.channel.StoreChannel,9,5,23
discord4j.common.ReactorResources$Builder,4,5,22
discord4j.core.object.monetization.Entitlement$OwnerType,1,5,19
discord4j.core.event.domain.lifecycle.SessionInvalidatedEvent,3,2,8
discord4j.core.object.Embed$Image,2,7,24
discord4j.voice.VoiceReceiveTaskFactory,5,1,3
discord4j.core.object.entity.channel.ForumChannel,21,16,90
discord4j.core.object.entity.Attachment,7,18,79
discord4j.core.ExampleWithGateway,3,1,6
discord4j.rest.service.GatewayServiceTest,6,3,12
discord4j.core.spec.GuildPruneCountSpecGenerator,7,3,10
discord4j.oauth2.Scope,1,33,106
discord4j.core.spec.TextChannelEditSpecGenerator,8,8,12
discord4j.core.object.VoiceState,11,24,77
discord4j.core.event.domain.message.MessageBulkDeleteEvent,11,8,34
discord4j.core.spec.InteractionCallbackSpecDeferReplyMonoGenerator,6,3,7
discord4j.rest.request.DiscordWebRequest,8,27,108
discord4j.core.shard.SingleGatewayClientGroup$RoutableGatewayClient,13,15,50
discord4j.core.object.entity.Guild$NsfwLevel,1,7,23
discord4j.core.object.entity.Integration,13,24,101
discord4j.core.object.entity.channel.CategorizableChannel,14,8,31
discord4j.core.spec.WebhookEditSpecGenerator,8,4,8
discord4j.common.store.impl.StorageBackend,7,5,34
discord4j.core.spec.StoreChannelEditSpecGenerator,8,5,9
discord4j.voice.VoiceStateUpdateTask,3,1,3
discord4j.core.event.domain.channel.TextChannelCreateEvent,4,3,13
discord4j.rest.http.client.ClientRequest,11,12,56
discord4j.core.object.automod.AutoModRuleTriggerMetaData$Preset,1,5,21
discord4j.core.object.audit.ActionType,1,60,129
discord4j.rest.service.StageInstanceService,10,5,17
discord4j.core.object.command.ApplicationCommandOption,9,18,98
discord4j.core.spec.ForumChannelCreateMonoGenerator,6,2,6
discord4j.rest.util.Multimap,3,24,82
discord4j.gateway.payload.PayloadReader,3,1,3
discord4j.rest.util.Image$Format,1,7,29
discord4j.gateway.CompositeGatewayObserver,4,10,54
discord4j.common.store.action.read.GetGuildScheduledEventByIdAction,2,3,14
discord4j.rest.http.MultipartWriterStrategy,10,10,41
discord4j.core.object.Embed$Field,2,6,23
discord4j.core.object.onboarding.OnboardingPrompt$Type,1,5,22
discord4j.core.spec.InteractionPresentModalSpecGenerator,7,4,8
discord4j.rest.service.VoiceServiceTest,6,2,9
discord4j.core.object.Embed$Provider,2,5,18
discord4j.core.event.domain.channel.VoiceChannelUpdateEvent,5,4,18
discord4j.core.object.ApplicationTeamMember,11,10,75
discord4j.core.spec.InternalSpecUtils,5,19,40
discord4j.voice.VoiceGatewayEvent,0,0,2
discord4j.common.store.action.read.CountTotalRolesAction,1,1,5
discord4j.core.spec.GuildStickerEditSpecGenerator,5,4,8
discord4j.core.spec.PollVotersRequestFluxGenerator,9,7,11
discord4j.rest.response.ResponseFunction,8,7,21
discord4j.rest.service.EmojiService,14,11,35
discord4j.core.event.domain.integration.IntegrationDeleteEvent,5,4,20
discord4j.rest.util.Color,2,20,84
discord4j.core.event.domain.channel.CategoryUpdateEvent,5,4,18
discord4j.core.spec.ApplicationEmojiEditSpecGenerator,5,2,6
discord4j.rest.entity.RestScheduledEvent,14,11,52
discord4j.voice.AudioProvider,1,4,20
discord4j.common.store.action.read.CountTotalAction$CountableEntity,0,0,1
discord4j.core.spec.GuildMemberEditMonoGenerator,6,3,7
discord4j.core.object.component.TextInput$Style,1,5,18
discord4j.gateway.limiter.ExamplePayloadTransformer,5,2,23
discord4j.core.ExampleCustomOptionsBot$CustomOptions,1,2,10
discord4j.gateway.intent.IntentSet,3,24,75
discord4j.rest.service.GuildService,46,57,173
discord4j.core.spec.NewsChannelCreateMonoGenerator,6,3,7
discord4j.rest.service.ChannelServiceTest,16,36,133
discord4j.gateway.PayloadHandler,3,1,3
discord4j.rest.interaction.Interactions$RequestApplicationCommandDefinition,4,3,14
discord4j.core.spec.legacy.LegacyCategoryEditSpec,6,6,27
discord4j.common.store.api.StoreFlag,0,0,14
discord4j.core.spec.TextChannelCreateMonoGenerator,6,3,7
discord4j.core.support.VoiceSupport$MyAudioLoadResultHandler,5,5,15
discord4j.core.object.reaction.Reaction,6,10,54
discord4j.common.store.action.gateway.GuildScheduledEventDeleteAction,3,2,10
discord4j.core.event.domain.lifecycle.DisconnectEvent,5,4,18
discord4j.voice.json.Ready,2,2,28
discord4j.voice.json.Heartbeat,1,1,6
discord4j.common.store.action.read.GetRolesAction,2,1,4
discord4j.voice.LocalVoiceSendTaskFactory,7,1,5
discord4j.voice.json.Resumed,1,1,6
discord4j.rest.http.ReaderStrategy,3,2,4
discord4j.core.spec.WebhookMessageEditMonoGenerator,7,5,13
discord4j.core.object.command.ApplicationCommand,10,18,82
discord4j.core.spec.AutoModRuleEditSpecGenerator,9,8,18
discord4j.core.spec.legacy.LegacyGuildTemplateEditSpec,4,3,15
discord4j.core.spec.legacy.LegacyTextChannelCreateSpec,7,12,43
discord4j.core.object.entity.StageInstance,11,11,41
discord4j.core.spec.EmbedCreateSpecGenerator$Builder,8,4,27
discord4j.core.spec.legacy.LegacyUserEditSpec,6,4,15
discord4j.core.spec.GuildTemplateCreateMonoGenerator,6,3,7
discord4j.core.spec.Spec,1,1,3
discord4j.core.spec.ThreadChannelEditSpecGenerator,9,9,13
discord4j.core.event.domain.interaction.ChatInputAutoCompleteEvent,14,10,33
discord4j.core.retriever.EntityRetrievalStrategy,6,0,5
discord4j.rest.RestResources,7,10,42
discord4j.core.event.dispatch.DispatchHandler,5,1,3
discord4j.common.store.action.read.CountVoiceStatesInGuildAction,1,1,5
discord4j.oauth2.ExampleOAuth2ClientCredentials,9,3,32
discord4j.rest.http.client.ClientException,9,13,52
discord4j.core.object.ScheduledEventUser,6,6,25
discord4j.core.object.ExtendedInvite,4,8,25
discord4j.core.event.domain.message.MessageUpdateEvent,13,13,57
discord4j.core.shard.ShardingGatewayClientGroup,6,8,28
discord4j.core.object.entity.ScheduledEvent$PrivacyLevel,1,4,16
discord4j.gateway.GatewayOptions,8,13,62
discord4j.rest.http.FallbackReaderStrategy,5,6,32
discord4j.core.spec.StoreChannelEditMonoGenerator,6,3,7
discord4j.core.spec.ScheduledEventEditMonoGenerator,6,3,7
discord4j.core.object.ExtendedPermissionOverwrite,14,14,50
discord4j.core.util.ArrayUtil,2,19,70
discord4j.common.store.action.gateway.ThreadDeleteAction,2,2,10
discord4j.core.ExampleCustomOptionsBot,3,1,27
discord4j.voice.retry.PartialDisconnectException,2,1,5
discord4j.core.DiscordClientBuilder,11,5,29
discord4j.core.command.CommandOperations,9,12,53
discord4j.core.spec.EmbedCreateFields$Author,6,6,12
discord4j.rest.request.SinksRequestQueueFactory,8,2,21
discord4j.rest.service.InviteService,9,4,14
discord4j.common.store.action.gateway.VoiceStateUpdateDispatchAction,3,2,10
discord4j.common.store.action.gateway.MessageDeleteBulkAction,3,2,10
discord4j.core.event.domain.InviteDeleteEvent,8,6,26
discord4j.core.event.domain.role.RoleCreateEvent,10,5,21
discord4j.voice.VoiceConnection,7,9,23
discord4j.common.store.action.gateway.ThreadMemberUpdateAction,3,2,10
discord4j.core.ExampleGuildScheduledEvents,5,1,37
discord4j.voice.json.VoiceDisconnect$Data,0,2,9
discord4j.common.store.action.read.GetChannelByIdAction,2,2,9
discord4j.gateway.payload.JacksonPayloadReader$Anonymous1,0,0,2
discord4j.rest.service.AuditLogService,7,2,8
discord4j.gateway.retry.InvalidSessionException,2,2,8
discord4j.core.event.domain.guild.ScheduledEventCreateEvent,10,5,19
discord4j.core.event.domain.lifecycle.ReconnectStartEvent,3,2,8
discord4j.core.object.automod.AutoModRule,15,19,106
discord4j.core.object.entity.channel.MessageChannel,19,19,75
discord4j.common.store.api.StoreAction,0,0,2
discord4j.core.spec.OnboardingEditMonoGenerator,6,2,6
discord4j.common.store.impl.NoOpMap,3,17,48
discord4j.common.store.action.gateway.GuildRoleDeleteAction,3,2,10
discord4j.common.store.action.read.CountPresencesInGuildAction,1,1,5
discord4j.core.event.domain.channel.NewsChannelUpdateEvent,7,8,24
discord4j.rest.example.ExampleRestCommand,6,3,24
discord4j.core.spec.ForumThreadMessageCreateSpecGenerator,11,6,11
discord4j.core.spec.NewsChannelEditSpecGenerator,8,8,12
discord4j.core.object.entity.EveryoneRoleLiveTest,8,5,24
discord4j.rest.interaction.InteractionOperations,23,24,87
discord4j.core.event.domain.guild.MemberJoinEvent,10,5,21
discord4j.core.spec.legacy.LegacyGuildEmojiCreateSpec,6,6,28
discord4j.common.close.CloseStatus,2,6,19
discord4j.gateway.json.ShardAwareDispatch,1,4,19
discord4j.rest.interaction.Interactions$NoopInteractionValidator,1,1,5
discord4j.rest.request.BucketKeyTest,2,3,24
discord4j.common.store.action.read.CountTotalVoiceStatesAction,1,1,5
discord4j.core.command.Command,2,0,2
discord4j.common.store.action.read.GetEmojisInGuildAction,2,2,9
discord4j.gateway.IdentifyOptions$Builder,7,6,29
discord4j.core.spec.InteractionReplyEditSpecGenerator,14,8,17
discord4j.rest.request.SinksRequestQueueFactory$Anonymous1,3,2,9
discord4j.core.event.domain.channel.TypingStartEvent,12,9,39
discord4j.rest.request.ProcessorRequestQueueFactory$Anonymous1,4,2,11
discord4j.common.store.action.read.CountTotalGuildsAction,1,1,5
discord4j.core.object.command.ApplicationIntegrationType,1,5,20
com.iwebpp.crypto.TweetNaclFast$SecretBox,3,51,101
discord4j.core.object.automod.AutoModRuleTriggerMetaData,3,10,58
discord4j.rest.entity.RestMessage,11,22,61
discord4j.core.command.CommandHandler,4,3,15
discord4j.core.object.Embed$Footer,2,6,22
discord4j.common.store.action.gateway.GuildScheduledEventCreateAction,2,2,10
discord4j.core.support.VoiceSupport$Reconnect,4,3,12
discord4j.voice.json.SessionDescription$Data,1,3,14
discord4j.rest.request.RouterOptions,6,10,47
discord4j.core.support.VoiceSupport$Join,5,3,20
discord4j.gateway.GatewayReactorResources$Builder,5,6,24
discord4j.rest.entity.RestMember,11,24,73
discord4j.common.store.action.read.GetStickersInGuildAction,2,2,9
discord4j.core.event.domain.poll.PollVoteEvent,12,11,45
discord4j.common.store.action.read.GetEmojiByIdAction,2,3,14
discord4j.core.spec.CategoryEditSpecGenerator,7,4,8
discord4j.rest.service.TemplateService,12,8,26
discord4j.core.object.entity.Guild$PremiumTier,1,7,28
discord4j.core.spec.StageInstanceEditMonoGenerator,6,3,7
discord4j.core.shard.LocalShardCoordinator,8,9,42
discord4j.core.spec.MessageEditSpecGenerator,15,9,18
discord4j.core.spec.GuildPruneCountMonoGenerator,6,3,7
discord4j.core.util.ListUtil,1,7,31
discord4j.core.spec.legacy.LegacyGuildPruneCountSpec,5,4,19
discord4j.common.store.action.gateway.GuildMemberAddAction,2,2,10
discord4j.gateway.retry.ClosingStateChange,3,3,15
discord4j.oauth2.DiscordOAuth2SuccessHandler,2,1,3
discord4j.common.store.api.ActionMapper$Builder,6,3,15
discord4j.gateway.logback.GatewayEventFilter,5,10,28
discord4j.common.store.action.gateway.MessageReactionRemoveAllAction,2,2,10
discord4j.core.spec.legacy.LegacyGuildEditSpec,12,26,103
discord4j.core.spec.legacy.LegacyMessageEditSpec,12,13,58
discord4j.core.ExampleWithEventDispatcher,4,1,6
discord4j.common.store.action.read.CountTotalEmojisAction,1,1,5
discord4j.core.object.automod.AutoModRule$TriggerType,1,5,23
discord4j.core.spec.CategoryCreateMonoGenerator,6,3,7
discord4j.core.object.audit.AuditLogPart,8,11,60
discord4j.common.store.action.read.GetVoiceStatesInChannelAction,2,3,14
discord4j.core.spec.ApplicationEmojiEditMonoGenerator,6,3,7
discord4j.core.event.domain.guild.IntegrationsUpdateEvent,9,4,16
discord4j.core.object.command.ApplicationCommandContexts,1,6,23
discord4j.core.event.DefaultEventDispatcher,12,7,73
discord4j.core.event.DefaultEventDispatcher$Builder,10,9,35
discord4j.core.spec.MessageCreateSpecGenerator,15,12,21
discord4j.oauth2.DiscordOAuth2Server$OAuth2ServerHandler,13,10,61
discord4j.core.object.entity.Role$Flag,1,7,25
discord4j.common.store.action.read.CountTotalChannelsAction,1,1,5
discord4j.oauth2.service.OAuth2Service,10,5,18
discord4j.core.spec.legacy.LegacyTextChannelEditSpec,7,11,43
discord4j.core.spec.legacy.LegacyWebhookCreateSpec,5,6,23
discord4j.rest.request.RequestQueueFactory,8,4,12
discord4j.common.store.action.read.CountTotalUsersAction,1,1,5
discord4j.common.store.action.gateway.ChannelUpdateAction,3,2,10
discord4j.core.shard.ShardCoordinator,5,4,6
discord4j.core.spec.StartThreadWithoutMessageSpecGenerator,8,6,10
discord4j.core.spec.TextChannelCreateSpecGenerator,8,8,12
discord4j.common.retry.ReconnectOptions,5,11,117
discord4j.common.store.action.read.GetMessageByIdAction,2,3,14
discord4j.common.store.action.read.GetMemberByIdAction,2,3,14
discord4j.core.object.entity.AvatarDecoration,5,6,25
discord4j.common.store.action.gateway.ThreadCreateAction,2,2,10
discord4j.core.spec.StartThreadInForumChannelMonoGenerator,6,3,7
com.iwebpp.crypto.TweetNaclFast$ScalarMult,2,5,17
discord4j.core.object.automod.AutoModRuleAction$Type,1,5,22
discord4j.core.spec.InteractionFollowupCreateSpecGenerator,13,12,24
discord4j.core.object.component.SelectMenu$Option,3,12,39
discord4j.common.store.action.read.CountVoiceStatesInChannelAction,1,3,14
discord4j.oauth2.ExampleOAuth2CodeFlow,8,4,39
discord4j.core.ExampleSoundboard$MyAudioLoadResultHandler,5,5,15
discord4j.rest.entity.RestEmoji,10,16,43
discord4j.core.event.domain.guild.BanEvent,10,5,21
discord4j.core.object.entity.channel.VoiceChannel,12,7,51
discord4j.core.shard.GatewayBootstrap,60,78,410
discord4j.rest.interaction.Interactions$GuildApplicationCommandDefinition,5,3,14
discord4j.core.object.presence.Status$Platform,0,0,1
discord4j.rest.service.InteractionService,7,5,11
discord4j.core.shard.SingleGatewayClientGroup,8,11,86
discord4j.rest.interaction.DirectInteraction,3,1,3
discord4j.rest.util.Permission,1,3,68
discord4j.core.object.entity.Guild$MfaLevel,1,5,22
discord4j.voice.VoiceServerUpdateTask,5,2,6
discord4j.core.event.domain.thread.ThreadChannelCreateEvent,4,4,18
discord4j.core.retriever.FallbackEntityRetriever,19,25,80
discord4j.common.store.action.read.CountMembersInGuildAction,1,1,5
discord4j.core.shard.ShardingStrategy$Anonymous3,4,3,11
discord4j.core.object.entity.channel.StageChannel,18,10,33
discord4j.core.spec.legacy.LegacyEmbedCreateSpec,7,15,54
discord4j.common.store.action.read.GetStageInstanceByChannelIdAction,2,2,9
discord4j.core.object.entity.channel.UnknownChannel,3,2,8
discord4j.core.spec.PollVotersRequestSpecGenerator,7,3,10
discord4j.rest.request.BlockingLimiterTestApp,5,3,19
discord4j.voice.json.SessionDescription,3,2,23
discord4j.core.spec.VoiceChannelEditMonoGenerator,6,3,7
discord4j.gateway.retry.ReconnectException,2,1,5
discord4j.rest.http.JacksonWriterStrategy,9,12,38
discord4j.core.event.domain.command.ApplicationCommandUpdateEvent,10,4,18
discord4j.core.ExampleSoundboard$GuildVoiceSupport,5,1,13
discord4j.core.event.domain.guild.ScheduledEventUpdateEvent,11,6,24
discord4j.gateway.GatewayConnection$State,0,0,8
discord4j.core.spec.legacy.LegacyStoreChannelEditSpec,6,6,27
discord4j.core.spec.VoiceChannelCreateMonoGenerator,6,3,7
discord4j.rest.interaction.Interactions,29,18,169
discord4j.core.spec.ApplicationEditSpecGenerator,9,10,21
discord4j.core.spec.ApplicationEditSpecGenerator$ApplicationEditMonoGenerator,6,3,7
discord4j.core.event.domain.channel.StoreChannelCreateEvent,4,3,13
discord4j.core.event.dispatch.LifecycleDispatchHandlers,19,11,35
discord4j.common.store.api.layout.StoreLayout,4,4,10
discord4j.core.event.domain.automod.AutoModRuleUpdateEvent,4,1,5
discord4j.core.spec.InteractionFollowupCreateMonoGenerator,6,3,7
discord4j.core.spec.WebhookMessageEditSpecGenerator,14,8,19
discord4j.rest.service.ApplicationServiceTest,6,2,9
discord4j.common.store.impl.LocalStoreLayout$Long2,1,7,16
discord4j.gateway.SessionInfo,4,10,33
discord4j.common.store.action.read.ReadActions,41,56,170
discord4j.core.event.dispatch.ChannelDispatchHandlers,45,33,108
discord4j.core.event.dispatch.StageInstanceDispatchHandlers,11,3,20
discord4j.core.spec.EmbedCreateFields$Field,4,5,11
discord4j.core.object.Ban,4,6,23
discord4j.core.spec.GuildTemplateCreateSpecGenerator,5,3,7
discord4j.oauth2.DiscordOAuth2Server$Builder,9,13,64
discord4j.core.object.audit.AuditLogEntry,14,15,60
discord4j.core.spec.legacy.LegacyGuildEmojiEditSpec,6,5,23
discord4j.core.command.CommandListener,11,12,52
discord4j.rest.route.Routes,1,0,193
discord4j.core.spec.GuildCreateFromTemplateSpecGenerator,7,3,7
discord4j.core.object.command.ResolvedMember,13,17,60
discord4j.core.ExampleInteractions,15,22,110
discord4j.core.spec.GuildPruneMonoGenerator,6,3,7
discord4j.core.event.domain.channel.ChannelEvent,3,1,5
discord4j.core.spec.legacy.LegacyRoleEditSpec,7,8,34
discord4j.core.ExampleQuickstart,2,1,10
discord4j.core.shard.ShardingStrategy$Anonymous1,5,4,14
discord4j.core.spec.GuildEditSpecGenerator,13,21,25
discord4j.core.shard.ShardingStrategy$Anonymous2,4,3,11
discord4j.gateway.json.dispatch.EventNames,0,0,71
discord4j.rest.RestClient,61,55,209
discord4j.gateway.limiter.RateLimitTransformer,5,3,12
discord4j.core.event.domain.role.RoleDeleteEvent,11,6,26
discord4j.core.object.entity.poll.PollQuestion,2,4,15
discord4j.common.store.action.read.GetVoiceStatesAction,2,1,4
discord4j.core.spec.WebhookCreateSpecGenerator,7,3,7
discord4j.oauth2.object.AccessToken,4,10,35
discord4j.core.object.entity.channel.Channel,8,7,99
discord4j.core.event.domain.guild.ScheduledEventDeleteEvent,10,5,19
discord4j.rest.interaction.GuildCommandRegistrar,8,4,20
discord4j.core.spec.GuildEmojiCreateMonoGenerator,6,3,7
discord4j.gateway.intent.Intent,0,2,31
discord4j.core.event.domain.channel.UnknownChannelDeleteEvent,4,3,13
discord4j.core.spec.BanQuerySpecGenerator,5,3,11
discord4j.rest.interaction.FollowupInteractionHandler,6,4,17
discord4j.core.object.entity.GuildEmoji,17,18,62
discord4j.gateway.ShardInfo,6,14,40
discord4j.common.store.api.layout.DataAccessor,16,56,68
discord4j.rest.util.MultipartRequest,6,9,36
discord4j.core.event.domain.interaction.ChatInputInteractionEvent,15,12,38
discord4j.voice.json.Hello,2,2,18
discord4j.voice.VoiceWebsocketHandler,16,11,51
discord4j.core.spec.legacy.LegacyInviteCreateSpec,7,10,42
discord4j.core.object.IntegrationAccount,3,5,20
discord4j.rest.response.CompositeTransformer,4,2,9
discord4j.core.object.entity.PartialMember,31,60,241
discord4j.common.store.action.read.CountTotalMembersAction,1,1,5
discord4j.core.ExampleSoundboard$LavaplayerAudioProvider,3,3,16
discord4j.voice.VoiceChannelRetrieveTask,2,1,3
discord4j.core.object.ApplicationIntegrationTypeConfiguration,2,4,15
discord4j.core.object.entity.GuildSticker,11,9,33
